IDMessage;Battery;Value;Delta;Origin
0;B4;2.69;0.00;2.690
0;B5;2.69;0.00;2.690
watts;;  89.29;;
amps;; 0.00;;
0;B0;2.61;0.00;2.610
0;B1;2.51;0.00;2.510
0;B2;2.70;0.00;2.700
0;B3;2.66;0.00;2.660
0;B4;2.66;0.00;2.660
0;B5;2.70;0.00;2.700
watts;;  90.20;;
amps;; 0.00;;
0;B0;2.18;0.00;2.180
0;B1;1.92;0.00;1.920
0;B2;2.32;0.00;2.320
0;B3;2.29;0.00;2.290
0;B4;2.24;0.00;2.240
0;B5;2.32;0.00;2.320
watts;;  90.45;;
amps;; 4.93;;
0;B0;2.62;0.00;2.620
0;B1;2.49;0.00;2.490
0;B2;2.71;0.00;2.710
0;B3;2.65;0.00;2.650
0;B4;2.65;0.00;2.650
0;B5;2.68;0.00;2.680
watts;;  91.13;;
amps;; 0.00;;
0;B0;2.77;0.00;2.770
0;B1;2.71;0.00;2.710
0;B2;2.83;0.00;2.830
0;B3;2.78;0.00;2.780
0;B4;2.81;0.00;2.810
0;B5;2.82;0.00;2.820
watts;;  91.13;;
amps;; 0.00;;
0;B0;2.58;0.00;2.580
0;B1;2.47;0.00;2.470
0;B2;2.68;0.00;2.680
0;B3;2.63;0.00;2.630
0;B4;2.63;0.00;2.630
0;B5;2.66;0.00;2.660
watts;;  91.13;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
0;B1;2.75;0.00;2.750
0;B2;2.86;0.00;2.860
0;B3;2.82;0.00;2.820
0;B4;2.85;0.00;2.850
0;B5;2.84;0.00;2.840
watts;;  91.13;;
amps;; 0.00;;
0;B0;2.83;0.00;2.830
0;B1;2.78;0.00;2.780
0;B2;2.88;0.00;2.880
0;B3;2.83;0.00;2.830
0;B4;2.86;0.00;2.860
0;B5;2.86;0.00;2.860
watts;;  91.13;;
amps;; 0.00;;
0;B0;2.68;0.00;2.680
0;B1;2.60;0.00;2.600
0;B2;2.73;0.00;2.730
0;B3;2.72;0.00;2.720
0;B4;2.73;0.00;2.730
0;B5;2.75;0.00;2.750
watts;;  91.47;;
amps;; 0.00;;
0;B0;2.84;0.00;2.840
0;B1;2.81;0.00;2.810
0;B2;2.89;0.00;2.890
0;B3;2.85;0.00;2.850
0;B4;2.88;0.00;2.880
0;B5;2.88;0.00;2.880
watts;;  91.48;;
amps;; 0.00;;
0;B0;2.71;0.00;2.710
0;B1;2.64;0.00;2.640
0;B2;2.79;0.00;2.790
0;B3;2.74;0.00;2.740
0;B4;2.76;0.00;2.760
0;B5;2.77;0.00;2.770
watts;;  91.00;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
0;B1;2.78;0.00;2.780
0;B2;2.88;0.00;2.880
0;B3;2.82;0.00;2.820
0;B4;2.85;0.00;2.850
0;B5;2.86;0.00;2.860
watts;;  92.09;;
amps;; 0.00;;
0;B0;2.86;0.00;2.860
0;B1;2.85;0.00;2.850
0;B2;2.91;0.00;2.910
0;B3;2.87;0.00;2.870
0;B4;2.91;0.00;2.910
0;B5;2.89;0.00;2.890
watts;;  92.09;;
amps;; 0.00;;
0;B0;2.90;0.00;2.900
0;B1;2.86;0.00;2.860
0;B2;2.91;0.00;2.910
0;B3;2.87;0.00;2.870
0;B4;2.92;0.00;2.920
0;B5;2.90;0.00;2.900
watts;;  92.09;;
amps;; 0.00;;
0;B0;1.93;0.00;1.930
0;B1;1.58;0.00;1.580
0;B2;2.12;0.00;2.120
0;B3;2.08;0.00;2.080
0;B4;2.02;0.00;2.020
0;B5;2.09;0.00;2.090
watts;;  98.93;;
amps;; 0.00;;
0;B0;1.32;0.00;1.320
0;B1;0.79;0.00;0.790
0;B2;1.62;0.00;1.620
0;B3;1.56;0.00;1.560
0;B4;1.44;0.00;1.440
0;B5;1.57;0.00;1.570
watts;;  99.80;;
amps;;25.98;;
0;B0;2.74;0.00;2.740
0;B1;2.69;0.00;2.690
0;B2;2.80;0.00;2.800
0;B3;2.77;0.00;2.770
0;B4;2.78;0.00;2.780
0;B5;2.81;0.00;2.810
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.78;0.00;2.780
0;B1;2.74;0.00;2.740
0;B2;2.85;0.00;2.850
0;B3;2.80;0.00;2.800
0;B4;2.82;0.00;2.820
0;B5;2.83;0.00;2.830
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
0;B1;2.76;0.00;2.760
0;B2;2.86;0.00;2.860
0;B3;2.81;0.00;2.810
0;B4;2.84;0.00;2.840
0;B5;2.85;0.00;2.850
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.84;0.00;2.840
0;B1;2.79;0.00;2.790
0;B2;2.87;0.00;2.870
0;B3;2.83;0.00;2.830
0;B4;2.86;0.00;2.860
0;B5;2.85;0.00;2.850
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.84;0.00;2.840
0;B1;2.80;0.00;2.800
0;B2;2.90;0.00;2.900
0;B3;2.84;0.00;2.840
0;B4;2.87;0.00;2.870
0;B5;2.88;0.00;2.880
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.85;0.00;2.850
0;B1;2.83;0.00;2.830
0;B2;2.92;0.00;2.920
0;B3;2.86;0.00;2.860
0;B4;2.89;0.00;2.890
0;B5;2.89;0.00;2.890
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.85;0.00;2.850
0;B1;2.84;0.00;2.840
0;B2;2.92;0.00;2.920
0;B3;2.87;0.00;2.870
0;B4;2.90;0.00;2.900
0;B5;2.90;0.00;2.900
watts;; 100.00;;
amps;; 0.00;;
0;B0;2.84;0.00;2.840
0;B1;2.82;0.00;2.820
0;B2;2.90;0.00;2.900
0;B3;2.86;0.00;2.860
0;B4;2.88;0.00;2.880
0;B5;2.88;0.00;2.880
watts;; 100.45;;
amps;; 0.00;;
0;B0;2.82;0.00;2.820
0;B1;2.79;0.00;2.790
0;B2;2.89;0.00;2.890
0;B3;2.83;0.00;2.830
0;B4;2.86;0.00;2.860
0;B5;2.86;0.00;2.860
watts;; 100.90;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
0;B1;2.77;0.00;2.770
0;B2;2.87;0.00;2.870
0;B3;2.82;0.00;2.820
0;B4;2.85;0.00;2.850
0;B5;2.85;0.00;2.850
watts;; 101.57;;
amps;; 0.00;;
0;B0;2.87;0.00;2.870
0;B1;2.83;0.00;2.830
0;B2;2.90;0.00;2.900
0;B3;2.87;0.00;2.870
0;B4;2.89;0.00;2.890
0;B5;2.90;0.00;2.900
watts;; 101.57;;
amps;; 0.00;;
0;B0;1.90;0.00;1.900
0;B1;1.58;0.00;1.580
0;B2;2.12;0.00;2.120
0;B3;2.09;0.00;2.090
0;B4;2.03;0.00;2.030
0;B5;2.09;0.00;2.090
watts;; 101.62;;
amps;;20.53;;
0;B0;2.24;0.00;2.240
0;B1;1.97;0.00;1.970
0;B2;2.36;0.00;2.360
0;B3;2.31;0.00;2.310
0;B4;2.28;0.00;2.280
0;B5;2.34;0.00;2.340
watts;; 102.59;;
amps;; 3.93;;
0;B0;1.89;0.00;1.890
0;B1;1.54;0.00;1.540
0;B2;2.11;0.00;2.110
0;B3;2.05;0.00;2.050
0;B4;1.97;0.00;1.970
0;B5;2.08;0.00;2.080
watts;; 103.34;;
amps;;15.48;;
0;B0;1.33;0.00;1.330
0;B1;0.73;0.00;0.730
0;B2;1.57;0.00;1.570
0;B3;1.54;0.00;1.540
0;B4;1.41;0.00;1.410
0;B5;1.54;0.00;1.540
watts;; 107.22;;
amps;;26.75;;
0;B0;1.54;0.00;1.540
0;B1;1.05;0.00;1.050
0;B2;1.77;0.00;1.770
0;B3;1.72;0.00;1.720
0;B4;1.62;0.00;1.620
0;B5;1.75;0.00;1.750
watts;; 113.83;;
amps;;19.53;;
0;B0;2.37;0.00;2.370
0;B1;2.11;0.00;2.110
0;B2;2.43;0.00;2.430
0;B3;2.41;0.00;2.410
0;B4;2.39;0.00;2.390
0;B5;2.46;0.00;2.460
watts;; 115.22;;
amps;; 0.00;;
0;B0;1.26;0.00;1.260
0;B1;0.65;0.00;0.650
0;B2;1.53;0.00;1.530
0;B3;1.50;0.00;1.500
0;B4;1.35;0.00;1.350
0;B5;1.51;0.00;1.510
watts;; 118.83;;
amps;;26.42;;
0;B0;1.96;0.00;1.960
0;B1;1.62;0.00;1.620
0;B2;2.15;0.00;2.150
0;B3;2.08;0.00;2.080
0;B4;2.03;0.00;2.030
0;B5;2.14;0.00;2.140
watts;; 122.86;;
amps;; 8.81;;
0;B0;2.64;0.00;2.640
0;B1;2.55;0.00;2.550
0;B2;2.71;0.00;2.710
0;B3;2.67;0.00;2.670
0;B4;2.67;0.00;2.670
0;B5;2.72;0.00;2.720
watts;; 125.48;;
amps;; 0.00;;
0;B0;2.27;0.00;2.270
0;B1;2.03;0.00;2.030
0;B2;2.38;0.00;2.380
0;B3;2.32;0.00;2.320
0;B4;2.30;0.00;2.300
0;B5;2.40;0.00;2.400
watts;; 126.66;;
amps;; 0.00;;
0;B0;2.38;0.00;2.380
0;B1;2.18;0.00;2.180
0;B2;2.47;0.00;2.470
0;B3;2.44;0.00;2.440
0;B4;2.43;0.00;2.430
0;B5;2.48;0.00;2.480
watts;; 126.00;;
amps;; 0.00;;
0;B0;2.72;0.00;2.720
0;B1;2.65;0.00;2.650
0;B2;2.77;0.00;2.770
0;B3;2.73;0.00;2.730
0;B4;2.74;0.00;2.740
0;B5;2.78;0.00;2.780
watts;; 126.85;;
amps;; 0.00;;
0;B0;2.76;0.00;2.760
0;B1;2.70;0.00;2.700
0;B2;2.82;0.00;2.820
0;B3;2.77;0.00;2.770
0;B4;2.79;0.00;2.790
0;B5;2.81;0.00;2.810
watts;; 126.85;;
amps;; 0.00;;
0;B0;1.37;0.00;1.370
0;B1;0.83;0.00;0.830
0;B2;1.64;0.00;1.640
0;B3;1.61;0.00;1.610
0;B4;1.47;0.00;1.470
0;B5;1.60;0.00;1.600
watts;;  12.00;;
amps;;28.59;;
0;B0;2.62;0.00;2.620
0;B1;2.53;0.00;2.530
0;B2;2.69;0.00;2.690
0;B3;2.64;0.00;2.640
0;B4;2.64;0.00;2.640
0;B5;2.69;0.00;2.690
watts;; 132.06;;
amps;; 0.00;;
0;B0;2.09;0.00;2.090
0;B1;1.78;0.00;1.780
0;B2;2.23;0.00;2.230
0;B3;2.18;0.00;2.180
0;B4;2.13;0.00;2.130
0;B5;2.21;0.00;2.210
watts;; 134.14;;
amps;; 4.20;;
0;B0;1.78;0.00;1.780
0;B1;1.33;0.00;1.330
0;B2;1.96;0.00;1.960
0;B3;1.91;0.00;1.910
0;B4;1.83;0.00;1.830
0;B5;1.94;0.00;1.940
watts;; 138.35;;
amps;;11.65;;
0;B0;1.72;0.00;1.720
0;B1;1.03;0.00;1.030
0;B2;1.76;0.00;1.760
0;B3;1.85;0.00;1.850
0;B4;1.63;0.00;1.630
0;B5;1.88;0.00;1.880
watts;; 143.90;;
amps;;17.42;;
0;B0;2.28;0.00;2.280
0;B1;2.06;0.00;2.060
0;B2;2.39;0.00;2.390
0;B3;2.36;0.00;2.360
0;B4;2.34;0.00;2.340
0;B5;2.39;0.00;2.390
watts;; 143.91;;
amps;; 0.00;;
0;B0;1.40;0.00;1.400
0;B1;0.80;0.00;0.800
0;B2;1.63;0.00;1.630
0;B3;1.60;0.00;1.600
0;B4;1.47;0.00;1.470
0;B5;1.62;0.00;1.620
watts;; 151.25;;
amps;;21.92;;
0;B0;1.32;0.00;1.320
0;B1;0.70;0.00;0.700
0;B2;1.57;0.00;1.570
0;B3;1.53;0.00;1.530
0;B4;1.40;0.00;1.400
